plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,cassava mosaic disease incidence 3-month evaluation			|CO_334:0000196,cassava mosaic disease severity 3-month evaluation			|CO_334:0000192,petiole color visual rating 1-9			|CO_334:0000023,plant height measurement in cm			|CO_334:0000018,STE			|CO_334:0000257,apical pubescence visual rating 0-2			|CO_334:0000309,apical pubescence visual rating 0-7			|CO_334:0000026,first apical branch height measurement in cm			|CO_334:0000106,initial plant vigor assessment 1-5			|CO_334:0000220,initial vigor assessment 1-7			|CO_334:0000009,stem color visual scoring 1-4			|CO_334:0000062,Broken Stem,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0021_1291,3496887,TMS21F2084P0021,1291,1,,1,,,,,,126.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0022_1292,3493179,TMS21F2084P0022,1292,1,,1,,,,,,120.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0023_1293,3493767,TMS21F2084P0023,1293,1,,1,,,,,,130.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0024_1294,3495061,TMS21F2084P0024,1294,1,,1,,,,,,124,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0025_1295,3492253,TMS21F2084P0025,1295,1,,1,,,,,,123.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0026_1296,3495237,TMS21F2084P0026,1296,1,,1,,,,,,100,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0027_1297,3494457,TMS21F2084P0027,1297,1,,1,,,,,,142,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0028_1298,3492110,TMS21F2084P0028,1298,1,,1,,,,,,95.8,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0029_1299,3494293,TMS21F2084P0029,1299,1,,1,,,,,,109.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0030_1300,3494622,TMS21F2084P0030,1300,1,,1,,,,,,NA,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0031_1301,3492512,TMS21F2084P0031,1301,1,,1,,,,,,120.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0032_1302,3492838,TMS21F2084P0032,1302,1,,1,,,,,,99.9,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0033_1303,3490938,TMS21F2084P0033,1303,1,,1,,,,,,NA,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0034_1304,3496047,TMS21F2084P0034,1304,1,,1,,,,,,97,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0035_1305,3495246,TMS21F2084P0035,1305,1,,1,,,,,,85.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0036_1306,3496722,TMS21F2084P0036,1306,1,,1,,,,,,81.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0037_1307,3492996,TMS21F2084P0037,1307,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0038_1308,3491136,TMS21F2084P0038,1308,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2084P0039_1309,3491607,TMS21F2084P0039,1309,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0001_1310,3492783,TMS21F2085P0001,1310,1,,1,,,,,,118.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0002_1311,3492096,TMS21F2085P0002,1311,1,,1,,,,,,110.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0003_1312,3493785,TMS21F2085P0003,1312,1,,1,,,,,,138,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0004_1313,3493598,TMS21F2085P0004,1313,1,,1,,,,,,120.8,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0005_1314,3494944,TMS21F2085P0005,1314,1,,1,,,,,,115.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0006_1315,3493586,TMS21F2085P0006,1315,1,,1,,,,,,109,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0007_1316,3490983,TMS21F2085P0007,1316,1,,1,,,,,,134.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0008_1317,3493904,TMS21F2085P0008,1317,1,,1,,,,,,70,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0009_1318,3496351,TMS21F2085P0009,1318,1,,1,,,,,,137,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0010_1319,3496259,TMS21F2085P0010,1319,1,,1,,,,,,NA,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0011_1320,3495003,TMS21F2085P0011,1320,1,,1,,,,,,145.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0012_1321,3496741,TMS21F2085P0012,1321,1,,1,,,,,,133,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0013_1322,3492586,TMS21F2085P0013,1322,1,,1,,,,,,55.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0014_1323,3494240,TMS21F2085P0014,1323,1,,1,,,,,,138.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0015_1324,3493522,TMS21F2085P0015,1324,1,,1,,,,,,139,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0016_1325,3495701,TMS21F2085P0016,1325,1,,1,,,,,,135,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0017_1326,3492174,TMS21F2085P0017,1326,1,,1,,,,,,120.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0018_1327,3496646,TMS21F2085P0018,1327,1,,1,,,,,,125.6,,,,,,,,FALSE,5,11,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0019_1328,3496612,TMS21F2085P0019,1328,1,,1,,,,,,155,,,,,,,,FALSE,2,12,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0020_1329,3495390,TMS21F2085P0020,1329,1,,1,,,,,,145.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0021_1330,3491895,TMS21F2085P0021,1330,1,,1,,,,,,148,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0022_1331,3493375,TMS21F2085P0022,1331,1,,1,,,,,,143,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0023_1332,3492453,TMS21F2085P0023,1332,1,,1,,,,,,150,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0024_1333,3493122,TMS21F2085P0024,1333,1,,1,,,,,,127,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0025_1334,3495566,TMS21F2085P0025,1334,1,,1,,,,,,89.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0026_1335,3495412,TMS21F2085P0026,1335,1,,1,,,,,,63,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0027_1336,3494908,TMS21F2085P0027,1336,1,,1,,,,,,32.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0028_1337,3495363,TMS21F2085P0028,1337,1,,1,,,,,,171.7,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0029_1338,3493868,TMS21F2085P0029,1338,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0030_1339,3492638,TMS21F2085P0030,1339,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0031_1340,3493612,TMS21F2085P0031,1340,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2085P0032_1341,3496847,TMS21F2085P0032,1341,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0001_1342,3492197,TMS21F2086P0001,1342,1,,1,,,,,,132.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0002_1343,3494895,TMS21F2086P0002,1343,1,,1,,,,,,147,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0003_1344,3496411,TMS21F2086P0003,1344,1,,1,,,,,,135.7,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0004_1345,3496040,TMS21F2086P0004,1345,1,,1,,,,,,109,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0005_1346,3493092,TMS21F2086P0005,1346,1,,1,,,,,,109.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0006_1347,3495590,TMS21F2086P0006,1347,1,,1,,,,,,110,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0007_1348,3496842,TMS21F2086P0007,1348,1,,1,,,,,,110,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0008_1349,3495077,TMS21F2086P0008,1349,1,,1,,,,,,139.4,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0009_1350,3495972,TMS21F2086P0009,1350,1,,1,,,,,,110,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0010_1351,3496426,TMS21F2086P0010,1351,1,,1,,,,,,113.7,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0011_1352,3494041,TMS21F2086P0011,1352,1,,1,,,,,,135.4,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0012_1353,3492648,TMS21F2086P0012,1353,1,,1,,,,,,130.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0013_1354,3496447,TMS21F2086P0013,1354,1,,1,,,,,,130.4,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0014_1355,3494879,TMS21F2086P0014,1355,1,,1,,,,,,118,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0015_1356,3495619,TMS21F2086P0015,1356,1,,1,,,,,,129.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0016_1357,3496683,TMS21F2086P0016,1357,1,,1,,,,,,131,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0017_1358,3496077,TMS21F2086P0017,1358,1,,1,,,,,,NA,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0018_1359,3494052,TMS21F2086P0018,1359,1,,1,,,,,,124.8,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0019_1360,3496650,TMS21F2086P0019,1360,1,,1,,,,,,125,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0020_1361,3491253,TMS21F2086P0020,1361,1,,1,,,,,,121.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0021_1362,3496235,TMS21F2086P0021,1362,1,,1,,,,,,128,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0022_1363,3491254,TMS21F2086P0022,1363,1,,1,,,,,,115.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0023_1364,3495754,TMS21F2086P0023,1364,1,,1,,,,,,129.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0024_1365,3494626,TMS21F2086P0024,1365,1,,1,,,,,,136.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0025_1366,3495005,TMS21F2086P0025,1366,1,,1,,,,,,148.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0026_1367,3495153,TMS21F2086P0026,1367,1,,1,,,,,,139.7,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0027_1368,3495864,TMS21F2086P0027,1368,1,,1,,,,,,133.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0028_1369,3492299,TMS21F2086P0028,1369,1,,1,,,,,,138.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0029_1370,3494954,TMS21F2086P0029,1370,1,,1,,,,,,137.8,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0030_1371,3492692,TMS21F2086P0030,1371,1,,1,,,,,,136,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0031_1372,3492514,TMS21F2086P0031,1372,1,,1,,,,,,128,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2086P0032_1373,3495784,TMS21F2086P0032,1373,1,,1,,,,,,160.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0001_1374,3495364,TMS21F2087P0001,1374,1,,1,,,,,,141,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0002_1375,3495513,TMS21F2087P0002,1375,1,,1,,,,,,138,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0003_1376,3493588,TMS21F2087P0003,1376,1,,1,,,,,,125,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0004_1377,3495544,TMS21F2087P0004,1377,1,,1,,,,,,NA,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0005_1378,3492717,TMS21F2087P0005,1378,1,,1,,,,,,123,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0006_1379,3492740,TMS21F2087P0006,1379,1,,1,,,,,,121.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0007_1380,3491674,TMS21F2087P0007,1380,1,,1,,,,,,100,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0008_1381,3493975,TMS21F2087P0008,1381,1,,1,,,,,,123.7,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0009_1382,3494880,TMS21F2087P0009,1382,1,,1,,,,,,124,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0010_1383,3494515,TMS21F2087P0010,1383,1,,1,,,,,,140.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0011_1384,3495852,TMS21F2087P0011,1384,1,,1,,,,,,133,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0012_1385,3495894,TMS21F2087P0012,1385,1,,1,,,,,,150.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0013_1386,3496165,TMS21F2087P0013,1386,1,,1,,,,,,92,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0014_1387,3491852,TMS21F2087P0014,1387,1,,1,,,,,,115,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0015_1388,3494033,TMS21F2087P0015,1388,1,,1,,,,,,118,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0016_1389,3491945,TMS21F2087P0016,1389,1,,1,,,,,,137.7,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0017_1390,3496470,TMS21F2087P0017,1390,1,,1,,,,,,110,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0018_1391,3494719,TMS21F2087P0018,1391,1,,1,,,,,,100,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0019_1392,3493797,TMS21F2087P0019,1392,1,,1,,,,,,120.4,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0020_1393,3491521,TMS21F2087P0020,1393,1,,1,,,,,,100,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0021_1394,3491685,TMS21F2087P0021,1394,1,,1,,,,,,113.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0022_1395,3492042,TMS21F2087P0022,1395,1,,1,,,,,,126.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0023_1396,3496479,TMS21F2087P0023,1396,1,,1,,,,,,81,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0024_1397,3491563,TMS21F2087P0024,1397,1,,1,,,,,,136.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0025_1398,3493763,TMS21F2087P0025,1398,1,,1,,,,,,110.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0026_1399,3492908,TMS21F2087P0026,1399,1,,1,,,,,,166.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0027_1400,3495031,TMS21F2087P0027,1400,1,,1,,,,,,126,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0028_1401,3494300,TMS21F2087P0028,1401,1,,1,,,,,,144,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0029_1402,3493519,TMS21F2087P0029,1402,1,,1,,,,,,120.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0030_1403,3496590,TMS21F2087P0030,1403,1,,1,,,,,,120,,,,,,,,FALSE,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0031_1404,3493479,TMS21F2087P0031,1404,1,,1,,,,,,116.2,,,,,,,,FALSE,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0032_1405,3495581,TMS21F2087P0032,1405,1,,1,,,,,,105,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0033_1406,3491067,TMS21F2087P0033,1406,1,,1,,,,,,124.5,,,,,,,,FALSE,2,12,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0034_1407,3491588,TMS21F2087P0034,1407,1,,1,,,,,,NA,,,,,,,,FALSE,2,13,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0035_1408,3491668,TMS21F2087P0035,1408,1,,1,,,,,,130.4,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0036_1409,3493115,TMS21F2087P0036,1409,1,,1,,,,,,108.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0037_1410,3491529,TMS21F2087P0037,1410,1,,1,,,,,,142,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0038_1411,3490981,TMS21F2087P0038,1411,1,,1,,,,,,135,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2087P0039_1412,3492412,TMS21F2087P0039,1412,1,,1,,,,,,108.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0001_1413,3493016,TMS21F2088P0001,1413,1,,1,,,,,,124.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0002_1414,3494409,TMS21F2088P0002,1414,1,,1,,,,,,123.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0003_1415,3494453,TMS21F2088P0003,1415,1,,1,,,,,,115,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0004_1416,3496864,TMS21F2088P0004,1416,1,,1,,,,,,135.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0005_1417,3493722,TMS21F2088P0005,1417,1,,1,,,,,,141.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0006_1418,3493732,TMS21F2088P0006,1418,1,,1,,,,,,105,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0007_1419,3494919,TMS21F2088P0007,1419,1,,1,,,,,,104,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0008_1420,3492605,TMS21F2088P0008,1420,1,,1,,,,,,110.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0009_1421,3490963,TMS21F2088P0009,1421,1,,1,,,,,,100,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0010_1422,3495112,TMS21F2088P0010,1422,1,,1,,,,,,105.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0011_1423,3495487,TMS21F2088P0011,1423,1,,1,,,,,,100,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0012_1424,3495809,TMS21F2088P0012,1424,1,,1,,,,,,142.4,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0013_1425,3494120,TMS21F2088P0013,1425,1,,1,,,,,,123.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2088P0014_1426,3493411,TMS21F2088P0014,1426,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2089P0001_1427,3491523,TMS21F2089P0001,1427,1,,1,,,,,,89.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0001_1428,3491849,TMS21F2090P0001,1428,1,,1,,,,,,147,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0002_1429,3491799,TMS21F2090P0002,1429,1,,1,,,,,,137,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0003_1430,3491618,TMS21F2090P0003,1430,1,,1,,,,,,137.7,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0004_1431,3496572,TMS21F2090P0004,1431,1,,1,,,,,,144.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0005_1432,3493999,TMS21F2090P0005,1432,1,,1,,,,,,68,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0006_1433,3493132,TMS21F2090P0006,1433,1,,1,,,,,,150,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0007_1434,3492033,TMS21F2090P0007,1434,1,,1,,,,,,NA,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0008_1435,3496491,TMS21F2090P0008,1435,1,,1,,,,,,138,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0009_1436,3493066,TMS21F2090P0009,1436,1,,1,,,,,,114.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0010_1437,3495565,TMS21F2090P0010,1437,1,,1,,,,,,110.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0011_1438,3494424,TMS21F2090P0011,1438,1,,1,,,,,,133.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0012_1439,3496230,TMS21F2090P0012,1439,1,,1,,,,,,124.4,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0013_1440,3495393,TMS21F2090P0013,1440,1,,1,,,,,,134.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0014_1441,3495910,TMS21F2090P0014,1441,1,,1,,,,,,123,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0015_1442,3496399,TMS21F2090P0015,1442,1,,1,,,,,,135.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0016_1443,3496767,TMS21F2090P0016,1443,1,,1,,,,,,128.7,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0017_1444,3496883,TMS21F2090P0017,1444,1,,1,,,,,,121.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0018_1445,3493860,TMS21F2090P0018,1445,1,,1,,,,,,158.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0019_1446,3496884,TMS21F2090P0019,1446,1,,1,,,,,,130.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0020_1447,3492013,TMS21F2090P0020,1447,1,,1,,,,,,147.3,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0021_1448,3494656,TMS21F2090P0021,1448,1,,1,,,,,,143,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0022_1449,3496579,TMS21F2090P0022,1449,1,,1,,,,,,NA,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0023_1450,3491360,TMS21F2090P0023,1450,1,,1,,,,,,141.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0024_1451,3494010,TMS21F2090P0024,1451,1,,1,,,,,,129.4,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0025_1452,3492343,TMS21F2090P0025,1452,1,,1,,,,,,128,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0026_1453,3493936,TMS21F2090P0026,1453,1,,1,,,,,,125.6,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0027_1454,3492513,TMS21F2090P0027,1454,1,,1,,,,,,NA,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0028_1455,3491611,TMS21F2090P0028,1455,1,,1,,,,,,98.5,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0029_1456,3491613,TMS21F2090P0029,1456,1,,1,,,,,,97,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0030_1457,3492800,TMS21F2090P0030,1457,1,,1,,,,,,101,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0031_1458,3495810,TMS21F2090P0031,1458,1,,1,,,,,,NA,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0032_1459,3491337,TMS21F2090P0032,1459,1,,1,,,,,,99.2,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0033_1460,3496813,TMS21F2090P0033,1460,1,,1,,,,,,120,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0034_1461,3496724,TMS21F2090P0034,1461,1,,1,,,,,,,,,,,,,,,,,,
21.GS.C6.SN.Student2.IB-rep1-TMS21F2090P0035_1462,3491533,TMS21F2090P0035,1462,1,,1,,,,,,,,,,,,,,,,,,
